Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-06 13:30:00+00:00,257.7799987792969,218.3300018310547,246.09800720214844,700.93359375,1151.8699951171875,259.07000732421875,220.9199981689453,249.66000366210938,706.6199951171875,1162.1199951171875,255.0500030517578,216.02999877929688,245.69000244140625,690.6599731445312,1150.5,257.94500732421875,220.9199981689453,246.13999938964844,705.0,1160.3699951171875,11669158,13078703,4373843,7964634,551078
2025-10-06 14:30:00+00:00,257.5513000488281,219.10879516601562,247.0399932861328,703.5900268554688,1150.4000244140625,257.9800109863281,219.16000366210938,247.28199768066406,706.11669921875,1153.14501953125,257.2799987792969,218.2902069091797,246.0399932861328,699.0,1145.47998046875,257.79998779296875,218.3300018310547,246.0500030517578,701.260009765625,1151.0999755859375,3447400,4809466,1614988,2664362,407082
2025-10-06 15:30:00+00:00,257.1300048828125,219.60499572753906,249.05499267578125,705.7999877929688,1150.0,257.6700134277344,220.43499755859375,249.4199981689453,708.030029296875,1153.43994140625,256.7699890136719,219.0500030517578,247.0500030517578,703.1599731445312,1146.989990234375,257.56500244140625,219.14599609375,247.07989501953125,703.6599731445312,1150.4150390625,3501833,4367656,1251392,1677535,240097
2025-10-06 16:30:00+00:00,256.55999755859375,220.24000549316406,249.88999938964844,708.5651245117188,1153.3304443359375,257.4800109863281,220.5655059814453,250.5,709.9500122070312,1154.219970703125,256.1304931640625,219.5500030517578,248.85000610351562,705.52001953125,1148.987548828125,257.1300048828125,219.60000610351562,249.05999755859375,705.7855834960938,1150.62255859375,2877222,2776867,1568368,1489886,151067
2025-10-06 17:30:00+00:00,256.18499755859375,221.1699981689453,251.39999389648438,715.1199951171875,1160.989990234375,256.68121337890625,221.19000244140625,251.61929321289062,716.6900024414062,1161.97998046875,255.5,220.22999572753906,246.74000549316406,707.3200073242188,1152.9949951171875,256.54998779296875,220.25,249.9199981689453,708.5374145507812,1153.0899658203125,5922536,3683984,2780352,2070174,233125
2025-10-06 18:30:00+00:00,256.510009765625,220.67999267578125,251.2449951171875,711.2000122070312,1159.449951171875,256.6600036621094,221.72999572753906,252.1999969482422,716.8800048828125,1163.4849853515625,256.06500244140625,220.6750030517578,251.00999450683594,711.030029296875,1159.0,256.1802062988281,221.1750030517578,251.39999389648438,715.0612182617188,1161.25,2693724,4525910,1417102,1872354,197846
2025-10-06 19:30:00+00:00,256.6499938964844,220.8800048828125,251.50999450683594,715.75,1162.989990234375,257.25,221.14999389648438,252.05999755859375,715.8300170898438,1163.5799560546875,256.4599914550781,220.61160278320312,250.92100524902344,711.0999755859375,1157.5389404296875,256.510009765625,220.69000244140625,251.22500610351562,711.1199951171875,1159.469970703125,3577742,4100672,1941601,1909072,481211
2025-10-07 13:30:00+00:00,256.67999267578125,221.4669952392578,249.4499969482422,711.9400024414062,1184.3399658203125,257.3999938964844,222.88999938964844,251.5500030517578,718.4998779296875,1189.3499755859375,256.2799987792969,220.1699981689453,248.35000610351562,708.260009765625,1177.7900390625,256.82000732421875,220.8800048828125,248.94500732421875,716.97998046875,1177.7900390625,6425357,8154723,3686636,3135854,939528
