Price,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AMZN,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX
2026-08-31 13:30:00+00:00,,315.7099914550781,,333.760498046875,570.1500244140625,80.97989654541016,321.2349853515625,,340.6300048828125,578.6500244140625,81.51000213623047,315.45001220703125,,333.42999267578125,569.1386108398438,80.6500015258789,319.55999755859375,,339.989990234375,576.77001953125,80.87999725341797,6501007,,3958062,2623162,3358250
2026-08-31 14:30:00+00:00,,315.06988525390625,,334.94000244140625,571.6500244140625,81.58999633789062,315.82000732421875,,335.3699951171875,573.1599731445312,81.6449966430664,314.3599853515625,,333.6200866699219,569.2999877929688,80.80999755859375,315.7099914550781,,333.7699890136719,570.0900268554688,80.9800033569336,3307355,,1947529,1242831,2298667
2026-08-31 15:30:00+00:00,,314.6700134277344,,334.70001220703125,570.75,81.48500061035156,315.2250061035156,,335.1700134277344,572.2899780273438,81.72000122070312,313.94000244140625,,334.25640869140625,570.2999877929688,81.37999725341797,315.0400085449219,,334.9599914550781,571.5999755859375,81.59500122070312,2437167,,1288897,715363,1437689
2026-08-31 16:30:00+00:00,,313.8800048828125,,334.67999267578125,571.0599975585938,81.5,316.0,,335.2298889160156,571.969970703125,81.7300033569336,312.79998779296875,,334.2300109863281,570.4199829101562,81.43000030517578,314.6000061035156,,334.7200012207031,570.7730102539062,81.48500061035156,3893327,,876695,753240,1702979
2026-08-31 17:30:00+00:00,,315.68499755859375,,334.4700012207031,571.5999755859375,81.5199966430664,316.0199890136719,,335.18499755859375,574.10498046875,81.59989929199219,313.385009765625,,334.3800048828125,570.8607788085938,81.41000366210938,313.8500061035156,,334.6600036621094,570.8607788085938,81.49500274658203,2695119,,1022322,1044543,1049646
2026-08-31 18:30:00+00:00,,316.0249938964844,,335.0400085449219,572.7550048828125,81.38999938964844,316.1600036621094,,335.46990966796875,576.1799926757812,81.62999725341797,315.010009765625,,334.3399963378906,570.6937866210938,81.34500122070312,315.681884765625,,334.4800109863281,571.5753173828125,81.51499938964844,2227790,,1098897,1498745,2008863
2026-08-31 19:30:00+00:00,,317.2300109863281,,335.489990234375,572.9099731445312,81.04000091552734,317.69000244140625,,337.739990234375,575.1599731445312,81.54000091552734,315.7099914550781,,334.79998779296875,571.4400024414062,80.87000274658203,316.0299987792969,,335.0299987792969,572.8200073242188,81.39540100097656,5002995,,2636863,1682821,3506235
2026-09-01 13:30:00+00:00,,325.3445129394531,,333.2749938964844,569.760009765625,81.9800033569336,325.3900146484375,,333.81939697265625,570.219970703125,82.08999633789062,314.73699951171875,,329.2900085449219,556.2999877929688,79.5999984741211,316.9800109863281,,332.29998779296875,557.7999877929688,80.11199951171875,14540988,,3665241,3179089,5119635
2026-09-01 14:30:00+00:00,,324.6000061035156,,333.07000732421875,578.8499755859375,80.94000244140625,325.8599853515625,,333.94970703125,581.1900024414062,82.12550354003906,322.739990234375,,332.4100036621094,569.7100219726562,80.70999908447266,325.3351135253906,,333.28509521484375,569.7100219726562,81.98999786376953,7060269,,1878908,2733633,3339069
2026-09-01 15:30:00+00:00,,326.6600036621094,,332.2200012207031,580.4000244140625,80.94499969482422,327.29998779296875,,333.3699951171875,583.4382934570312,81.12999725341797,324.0199890136719,,331.8900146484375,578.0,80.80000305175781,324.6199951171875,,333.05999755859375,578.760009765625,80.91999816894531,5503251,,1174473,2475999,1546743
2026-09-01 16:30:00+00:00,,324.6499938964844,,332.0150146484375,580.3049926757812,80.8949966430664,326.885009765625,,332.6300048828125,582.719970703125,81.08999633789062,324.4849853515625,,331.6700134277344,578.6212158203125,80.81500244140625,326.67999267578125,,332.20001220703125,580.5,80.94999694824219,4497727,,684817,1048037,1209354
2026-09-01 17:30:00+00:00,,325.2099914550781,,331.1600036621094,581.4550170898438,80.8550033569336,325.75,,332.4150085449219,584.9000244140625,81.29000091552734,324.32000732421875,,331.1400146484375,580.1436157226562,80.79000091552734,324.69000244140625,,332.0299987792969,580.469970703125,80.89510345458984,2879767,,871361,1237883,1475258
2026-09-01 18:30:00+00:00,,325.57000732421875,,331.2900085449219,580.77001953125,80.94499969482422,325.92999267578125,,331.6304016113281,581.7999877929688,81.06999969482422,324.3905029296875,,330.45001220703125,576.22998046875,80.75,325.20001220703125,,331.1600036621094,581.4550170898438,80.8550033569336,3499348,,1194371,1326680,1887465
2026-09-01 19:30:00+00:00,,325.1400146484375,,331.80999755859375,578.530029296875,80.80000305175781,325.88800048828125,,332.1400146484375,580.9600219726562,80.95500183105469,324.1000061035156,,330.82000732421875,577.4000244140625,80.69000244140625,325.6099853515625,,331.2699890136719,580.77001953125,80.94950103759766,5754962,,1720973,1171113,2737402
2026-09-02 13:30:00+00:00,,324.57000732421875,,334.9800109863281,595.0800170898438,82.3949966430664,328.3999938964844,,336.510009765625,600.3800048828125,83.12000274658203,323.5299987792969,,329.5201110839844,577.0,80.30000305175781,326.9700012207031,,330.6449890136719,579.5499877929688,80.54000091552734,8140570,,3677564,5653479,5161787
